State,Place,Date,Time,Infected,Total_Infected
Haryana, ,16-05-2020,Evening,69,90432
Odisha, ,16-05-2020,Evening,65,90497
Kerela, ,16-05-2020,Evening,11,90508
Jharkhand, ,16-05-2020,Evening,14,90522
Chandigarh, ,16-05-2020,Evening,0,90522
Tripura, ,16-05-2020,Evening,11,90533
Assam,,16-05-2020,Evening,2,90535
Uttarakhand, ,16-05-2020,Evening,6,90541
Himachal Pradesh, ,16-05-2020,Evening,2,90543
Chhattisgarh, ,16-05-2020,Evening,1,90544
Ladakh, ,16-05-2020,Evening,0,90544
Goa,,16-05-2020,Evening,2,90546
Manipur, ,16-05-2020,Evening,4,90550
Maharashtra, ,17-05-2020,Evening,2347,92897
Gujarat, ,17-05-2020,Evening,392,93289
Tamil Nadu,,17-05-2020,Evening,639,93928
Delhi, ,17-05-2020,Evening,422,94350
Rajasthan, ,17-05-2020,Evening,242,94592
Madhya Pradesh, ,17-05-2020,Evening,188,94780
Uttar Pradesh, ,17-05-2020,Evening,206,94986
West Bengal, ,17-05-2020,Evening,101,95087
Andhra Pradesh, ,17-05-2020,Evening,7,95094
Punjab, ,17-05-2020,Evening,18,95112
Telangana, ,17-05-2020,Evening,42,95154
Bihar, ,17-05-2020,Evening,141,95295
Jammu And Kashmir, ,17-05-2020,Evening,170,95465
Karnataka, ,17-05-2020,Evening,55,95520
Haryana, ,17-05-2020,Evening,23,95543
Odisha, ,17-05-2020,Evening,91,95634
Kerela, ,17-05-2020,Evening,15,95649
Jharkhand, ,17-05-2020,Evening,6,95655
Chandigarh, ,17-05-2020,Evening,0,95655
Tripura, ,17-05-2020,Evening,-3,95652
Assam, ,17-05-2020,Evening,6,95658
Uttarakhand, ,17-05-2020,Evening,4,95662
Himachal Pradesh, ,17-05-2020,Evening,2,95664
Chhattisgarh, ,17-05-2020,Evening,18,95682
Goa, ,17-05-2020,Evening,12,95694
Pondicherry, ,17-05-2020,Evening,1,95695
Telangana, ,17-05-2020,Evening,-27,95668
